splitting_index,Edge,Edge_Diff,N1_X,N1_Y,N2_X,N2_Y,Load_G1,Load_G2
0,"(14, 15)",4.329999999999998,962776.3661084999,1720345.465549,962775.7401085,1720352.091549,13.319999999999999,8.99
1,"(15, 16)",4.329999999999998,962775.7401085,1720352.091549,962775.5381085,1720354.120549,13.319999999999999,8.99
2,"(16, 11)",5.709999999999997,962775.5381085,1720354.120549,962772.2931085001,1720386.574549,14.009999999999998,8.3
3,"(11, 6)",5.829999999999998,962772.2931085001,1720386.574549,962763.2151085001,1720424.8225490001,14.069999999999999,8.24
4,"(6, 7)",6.809999999999999,962763.2151085001,1720424.8225490001,962762.7541085,1720426.7645490002,14.559999999999999,7.75
5,"(7, 8)",6.809999999999999,962762.7541085,1720426.7645490002,962761.8271085001,1720431.1935490002,14.559999999999999,7.75
6,"(8, 52)",6.809999999999999,962761.8271085001,1720431.1935490002,962760.6841084999,1720436.6505490001,14.559999999999999,7.75
7,"(52, 17)",6.809999999999999,962760.6841084999,1720436.6505490001,962760.1551085,1720438.627549,14.559999999999999,7.75
8,"(17, 3)",6.809999999999999,962760.1551085,1720438.627549,962754.4841085,1720459.803549,14.559999999999999,7.75
9,"(14, 20)",8.429999999999996,962776.3661084999,1720345.465549,962779.9271084999,1720307.804549,15.369999999999997,6.94
10,"(3, 2)",8.73,962754.4841085,1720459.803549,962752.8821085,1720465.786549,15.52,6.79
11,"(2, 1)",8.73,962752.8821085,1720465.786549,962750.0061085001,1720483.9275490001,15.52,6.79
12,"(1, 0)",8.73,962750.0061085001,1720483.9275490001,962749.7971085,1720485.953549,15.52,6.79
13,"(20, 55)",9.169999999999998,962779.9271084999,1720307.804549,962780.1081085,1720305.8835490001,15.739999999999998,6.57
14,"(55, 19)",9.169999999999998,962780.1081085,1720305.8835490001,962784.6501084999,1720274.995549,15.739999999999998,6.57
15,"(14, 65)",9.55,962776.3661084999,1720345.465549,962769.8331085001,1720345.387549,15.93,6.38
16,"(65, 60)",9.55,962769.8331085001,1720345.387549,962751.7421085001,1720342.2985490002,15.93,6.38
17,"(19, 18)",11.41,962784.6501084999,1720274.995549,962785.4701085,1720269.418549,16.86,5.45
18,"(60, 64)",12.73,962751.7421085001,1720342.2985490002,962745.6251085,1720341.253549,17.52,4.79
19,"(64, 42)",12.73,962745.6251085,1720341.253549,962743.6421085,1720341.4335490002,17.52,4.79
20,"(42, 43)",13.929999999999996,962743.6421085,1720341.4335490002,962705.1641084999,1720344.932549,18.119999999999997,4.19
21,"(43, 44)",13.929999999999996,962705.1641084999,1720344.932549,962703.1241085001,1720344.9435490002,18.119999999999997,4.19
22,"(18, 9)",14.129999999999999,962785.4701085,1720269.418549,962787.5301085,1720255.405549,18.22,4.09
23,"(0, 48)",14.97,962749.7971085,1720485.953549,962747.7681084999,1720505.561549,18.64,3.67
24,"(48, 47)",14.97,962747.7681084999,1720505.561549,962747.2091085,1720507.480549,18.64,3.67
25,"(9, 51)",15.55,962787.5301085,1720255.405549,962782.0761084999,1720255.774549,18.93,3.38
26,"(51, 13)",15.55,962782.0761084999,1720255.774549,962767.2201085,1720255.168549,18.93,3.38
27,"(44, 59)",16.15,962703.1241085001,1720344.9435490002,962665.3941085001,1720345.162549,19.229999999999997,3.08
28,"(47, 73)",17.849999999999998,962747.2091085,1720507.480549,962740.8711085,1720529.240549,20.08,2.23
29,"(73, 72)",18.05,962740.8711085,1720529.240549,962729.6071085001,1720577.5155490001,20.18,2.13
30,"(72, 71)",18.05,962729.6071085001,1720577.5155490001,962720.6411085001,1720611.624549,20.18,2.13
31,"(59, 63)",18.05,962665.3941085001,1720345.162549,962626.0831085001,1720346.311549,20.18,2.13
32,"(63, 67)",18.05,962626.0831085001,1720346.311549,962587.9221085,1720347.6905490002,20.18,2.13
33,"(67, 68)",18.05,962587.9221085,1720347.6905490002,962548.6911084999,1720356.337549,20.18,2.13
34,"(68, 36)",18.05,962548.6911084999,1720356.337549,962510.7971085,1720367.1025490002,20.18,2.13
35,"(36, 37)",18.05,962510.7971085,1720367.1025490002,962477.3871084999,1720372.780549,20.18,2.13
36,"(37, 38)",18.05,962477.3871084999,1720372.780549,962441.5431085001,1720376.8835490001,20.18,2.13
37,"(38, 39)",18.05,962441.5431085001,1720376.8835490001,962439.4781084999,1720376.9475490001,20.18,2.13
38,"(39, 50)",18.05,962439.4781084999,1720376.9475490001,962396.9451085001,1720378.263549,20.18,2.13
39,"(50, 26)",18.05,962396.9451085001,1720378.263549,962391.5961084999,1720379.7445490002,20.18,2.13
40,"(26, 25)",18.209999999999997,962391.5961084999,1720379.7445490002,962393.9681084999,1720363.078549,20.259999999999998,2.05
41,"(25, 24)",18.209999999999997,962393.9681084999,1720363.078549,962400.8651085,1720324.688549,20.259999999999998,2.05
42,"(24, 23)",18.209999999999997,962400.8651085,1720324.688549,962411.0101085,1720288.505549,20.259999999999998,2.05
43,"(13, 12)",18.429999999999996,962767.2201085,1720255.168549,962765.1791085,1720255.0855490002,20.369999999999997,1.94
44,"(12, 27)",18.429999999999996,962765.1791085,1720255.0855490002,962732.1191085,1720255.997549,20.369999999999997,1.94
45,"(27, 28)",18.429999999999996,962732.1191085,1720255.997549,962698.6221085,1720256.502549,20.369999999999997,1.94
46,"(28, 29)",18.429999999999996,962698.6221085,1720256.502549,962678.3081085,1720256.647549,20.369999999999997,1.94
47,"(29, 30)",18.429999999999996,962678.3081085,1720256.647549,962646.5541085,1720256.874549,20.369999999999997,1.94
48,"(30, 31)",18.429999999999996,962646.5541085,1720256.874549,962614.3301085001,1720257.005549,20.369999999999997,1.94
49,"(31, 32)",18.429999999999996,962614.3301085001,1720257.005549,962570.3561084999,1720256.732549,20.369999999999997,1.94
50,"(32, 33)",18.429999999999996,962570.3561084999,1720256.732549,962526.3801084999,1720256.554549,20.369999999999997,1.94
51,"(33, 34)",18.429999999999996,962526.3801084999,1720256.554549,962491.3041085,1720256.8625490002,20.369999999999997,1.94
52,"(71, 70)",18.849999999999998,962720.6411085001,1720611.624549,962716.5621084999,1720610.4985490001,20.58,1.73
53,"(70, 77)",18.849999999999998,962716.5621084999,1720610.4985490001,962714.3941085001,1720609.9205490001,20.58,1.73
54,"(77, 76)",18.849999999999998,962714.3941085001,1720609.9205490001,962683.9311085001,1720620.833549,20.58,1.73
55,"(76, 75)",18.849999999999998,962683.9311085001,1720620.833549,962678.2241084999,1720619.888549,20.58,1.73
56,"(75, 74)",18.849999999999998,962678.2241084999,1720619.888549,962676.7961085001,1720624.8425490002,20.58,1.73
57,"(74, 78)",18.849999999999998,962676.7961085001,1720624.8425490002,962670.9621085001,1720644.421549,20.58,1.73
58,"(78, 79)",18.849999999999998,962670.9621085001,1720644.421549,962620.4831085,1720652.066549,20.58,1.73
59,"(60, 61)",19.13,962751.7421085001,1720342.2985490002,962747.0681085,1720384.604549,20.72,1.5899999999999999
