Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
15413722,216.53499386717954,222.2010773323243,225.05787102503933,380.8685360160745,0.18,0.0,0.0,Group 2,A,1100779.2861085,1650639.574549,C,0.0,0.0,0.18
6200948282,214.99174186007252,222.2010773323243,225.05787102503933,501.78224812556965,0.13,0.0,0.0,Group 2,A,1100715.9371085,1650605.942549,A,0.13,0.0,0.0
26655620,227.33819006137873,229.23143844591596,228.394474534433,170.69354845258601,0.0,0.0,0.08,Group 1,C,1100983.8181085,1650942.635549,C,0.0,0.0,0.08
20077174,227.55398627106908,229.34820280460892,228.8533571527244,173.55007995417648,0.03,0.0,0.0,Group 1,A,1101022.7651085,1650980.8085490002,A,0.03,0.0,0.0
6001184646,227.6052408984063,229.34820280460892,228.8533571527244,146.6565989224765,0.03,0.0,0.0,Group 1,A,1101026.2231085,1650960.027549,A,0.03,0.0,0.0
6100506179,226.57702954612952,225.47659704187998,227.9163095562045,129.6035461680682,0.08,0.0,0.0,Group 1,A,1101185.6831085,1650879.266549,A,0.08,0.0,0.0
6100336422,224.3263553763073,222.0925443124191,226.43085483792777,233.134958966757,0.0,0.14,0.0,Group 1,B,1101305.7281085,1650880.782549,B,0.0,0.14,0.0
5800160138,228.09350811281337,228.91800112753006,229.16927746660275,158.75352525290361,0.0,0.24,0.0,Group 1,B,1100938.5051085,1650855.0115490002,A,0.24,0.0,0.0
D491462,227.5754871900481,228.73718944469573,229.07349944211072,266.87227355871994,0.0,0.23,0.0,Group 1,B,1100826.5351085,1650879.226549,A,0.23,0.0,0.0
17697992,218.65577641343322,222.3620351336902,225.13822820137204,300.2587653952445,0.0,0.06,0.0,Group 2,B,1100833.0131085,1650675.928549,C,0.0,0.0,0.06
6201065852,225.02781533023384,226.24710680308294,225.82066499028147,167.57252265341052,0.0,0.0,0.41,Group 2,C,1101044.5741085,1650610.745549,C,0.0,0.0,0.41
6000078199,225.02781533023384,226.24710680308294,225.82066499028147,167.57252265341052,0.0,0.0,0.85,Group 2,C,1101048.7541085,1650610.4205490001,C,0.0,0.0,0.85
6001243176,220.22248094347816,222.1579006399432,225.22827710747427,330.8519918090794,0.0,0.01,0.0,Group 2,B,1100851.4321085,1650575.7045490001,B,0.0,0.01,0.0
6300374490,216.4497086132586,225.4380362573094,224.94920478695903,410.0960823135091,0.0,0.05,0.0,Group 1,B,1101239.4891085,1650596.330549,A,0.05,0.0,0.0
6300255403,228.4057788439861,229.03576903340246,229.3115568553604,122.62801107193212,0.0,0.14,0.0,Group 1,B,1100962.4831085,1650848.698549,A,0.14,0.0,0.0
A114139,228.7128101055801,229.17039051178733,229.48234722112932,87.10954993531685,0.2,0.0,0.0,Group 1,A,1100986.7581085,1650856.5585490002,A,0.2,0.0,0.0
